object_id,image_file,source,source_url,license
E022,柔性\E022\Grapefruit.png,"ExpForce(UT Austin, arXiv:2603.08668)",,ExpForce数据集许可
E023,柔性\E023\Lemon.png,"ExpForce(UT Austin, arXiv:2603.08668)",,ExpForce数据集许可
E024,柔性\E024\Apple_organic.png,"ExpForce(UT Austin, arXiv:2603.08668)",,ExpForce数据集许可
E025,柔性\E025\Yellow_mini_bell_pepper_large.png,"ExpForce(UT Austin, arXiv:2603.08668)",,ExpForce数据集许可
E026,柔性\E026\Strawberry_1.png,"ExpForce(UT Austin, arXiv:2603.08668)",,ExpForce数据集许可
E027,柔性\E027\Cara_Cara_orange_1.png,"ExpForce(UT Austin, arXiv:2603.08668)",,ExpForce数据集许可
E028,柔性\E028\Cara_Cara_orange_2.png,"ExpForce(UT Austin, arXiv:2603.08668)",,ExpForce数据集许可
E029,柔性\E029\Orange_1.png,"ExpForce(UT Austin, arXiv:2603.08668)",,ExpForce数据集许可
E030,柔性\E030\Mandarin_2.png,"ExpForce(UT Austin, arXiv:2603.08668)",,ExpForce数据集许可
E031,柔性\E031\Lime_2.png,"ExpForce(UT Austin, arXiv:2603.08668)",,ExpForce数据集许可
E032,柔性\E032\Red_grape_1.png,"ExpForce(UT Austin, arXiv:2603.08668)",,ExpForce数据集许可
E033,柔性\E033\Red_grape_2.png,"ExpForce(UT Austin, arXiv:2603.08668)",,ExpForce数据集许可
E034,柔性\E034\Blue_drinking_straw.png,"ExpForce(UT Austin, arXiv:2603.08668)",,ExpForce数据集许可
E035,柔性\E035\Yellow_drinking_straw.png,"ExpForce(UT Austin, arXiv:2603.08668)",,ExpForce数据集许可
E036,柔性\E036\Blackberry_2.png,"ExpForce(UT Austin, arXiv:2603.08668)",,ExpForce数据集许可
E037,刚体\E037\White_chocolate_candy_ball.png,"ExpForce(UT Austin, arXiv:2603.08668)",,ExpForce数据集许可
E038,刚体\E038\Pocky_snack_box_Long-edge_orientation.png,"ExpForce(UT Austin, arXiv:2603.08668)",,ExpForce数据集许可
E039,柔性\E039\Oreo_Thin_cookie_pack.png,"ExpForce(UT Austin, arXiv:2603.08668)",,ExpForce数据集许可
E040,轻脆\E040\Single_Pringles_potato_chip.png,"ExpForce(UT Austin, arXiv:2603.08668)",,ExpForce数据集许可
E041,重脆\E041\Glass_whiskey_cup.png,"ExpForce(UT Austin, arXiv:2603.08668)",,ExpForce数据集许可
E042,刚体\E042\H-E-B_Texas_steak_seasoning.png,"ExpForce(UT Austin, arXiv:2603.08668)",,ExpForce数据集许可
E043,刚体\E043\7UP_Tropical_soda_zero.png,"ExpForce(UT Austin, arXiv:2603.08668)",,ExpForce数据集许可
E044,刚体\E044\Diet_Coke_can.png,"ExpForce(UT Austin, arXiv:2603.08668)",,ExpForce数据集许可
E045,刚体\E045\Pringles_can_side_orientation.png,"ExpForce(UT Austin, arXiv:2603.08668)",,ExpForce数据集许可
E046,刚体\E046\Sweet_bean_paste_regular.png,"ExpForce(UT Austin, arXiv:2603.08668)",,ExpForce数据集许可
E047,刚体\E047\Protein_shaker_bottle.png,"ExpForce(UT Austin, arXiv:2603.08668)",,ExpForce数据集许可
E048,柔性\E048\Marshmallow_2_regular.png,"ExpForce(UT Austin, arXiv:2603.08668)",,ExpForce数据集许可
E049,柔性\E049\Marshmallow_3_regular.png,"ExpForce(UT Austin, arXiv:2603.08668)",,ExpForce数据集许可
E050,刚体\E050\TV_remote_control.png,"ExpForce(UT Austin, arXiv:2603.08668)",,ExpForce数据集许可
E051,刚体\E051\5V_power_adapter.png,"ExpForce(UT Austin, arXiv:2603.08668)",,ExpForce数据集许可
E052,刚体\E052\Magic_tape_roll.png,"ExpForce(UT Austin, arXiv:2603.08668)",,ExpForce数据集许可
E053,刚体\E053\Peeler.png,"ExpForce(UT Austin, arXiv:2603.08668)",,ExpForce数据集许可
E054,刚体\E054\Skippy_creamy_peanut_butter.png,"ExpForce(UT Austin, arXiv:2603.08668)",,ExpForce数据集许可
E055,刚体\E055\Goodbye_Stress_gummies_42_count.png,"ExpForce(UT Austin, arXiv:2603.08668)",,ExpForce数据集许可
E056,柔性\E056\Banana.png,"ExpForce(UT Austin, arXiv:2603.08668)",,ExpForce数据集许可
E057,刚体\E057\Barbasol_shaving_cream_aloe.png,"ExpForce(UT Austin, arXiv:2603.08668)",,ExpForce数据集许可
E058,刚体\E058\Sticky_lint_roller.png,"ExpForce(UT Austin, arXiv:2603.08668)",,ExpForce数据集许可
E059,刚体\E059\Crest_3D_White_toothpaste_box.png,"ExpForce(UT Austin, arXiv:2603.08668)",,ExpForce数据集许可
E060,轻脆\E060\Large_brown_egg.png,"ExpForce(UT Austin, arXiv:2603.08668)",,ExpForce数据集许可
E061,轻脆\E061\Large_white_egg.png,"ExpForce(UT Austin, arXiv:2603.08668)",,ExpForce数据集许可
E062,刚体\E062\Olly_Sleep_Melatonin_Gummies.png,"ExpForce(UT Austin, arXiv:2603.08668)",,ExpForce数据集许可
E063,刚体\E063\Gatsby_hair_wax.png,"ExpForce(UT Austin, arXiv:2603.08668)",,ExpForce数据集许可
E064,柔性\E064\Green_pear.png,"ExpForce(UT Austin, arXiv:2603.08668)",,ExpForce数据集许可
E065,柔性\E065\Large_lemon.png,"ExpForce(UT Austin, arXiv:2603.08668)",,ExpForce数据集许可
E066,柔性\E066\Golden_apple.png,"ExpForce(UT Austin, arXiv:2603.08668)",,ExpForce数据集许可
E067,柔性\E067\Red_apple_1.png,"ExpForce(UT Austin, arXiv:2603.08668)",,ExpForce数据集许可
E068,柔性\E068\Green_apple.png,"ExpForce(UT Austin, arXiv:2603.08668)",,ExpForce数据集许可
E069,柔性\E069\Red_apple_2_large.png,"ExpForce(UT Austin, arXiv:2603.08668)",,ExpForce数据集许可
E070,柔性\E070\Mini_bell_pepper_1.png,"ExpForce(UT Austin, arXiv:2603.08668)",,ExpForce数据集许可
E071,柔性\E071\Mini_bell_pepper_2.png,"ExpForce(UT Austin, arXiv:2603.08668)",,ExpForce数据集许可
E072,柔性\E072\Mini_bell_pepper_3.png,"ExpForce(UT Austin, arXiv:2603.08668)",,ExpForce数据集许可
E073,柔性\E073\Strawberry_2.png,"ExpForce(UT Austin, arXiv:2603.08668)",,ExpForce数据集许可
E074,柔性\E074\Strawberry_large.png,"ExpForce(UT Austin, arXiv:2603.08668)",,ExpForce数据集许可
E075,柔性\E075\Mandarins.png,"ExpForce(UT Austin, arXiv:2603.08668)",,ExpForce数据集许可
E076,柔性\E076\Red_grape_3.png,"ExpForce(UT Austin, arXiv:2603.08668)",,ExpForce数据集许可
E077,柔性\E077\Green_grape_1.png,"ExpForce(UT Austin, arXiv:2603.08668)",,ExpForce数据集许可
E078,柔性\E078\Green_grape_2.png,"ExpForce(UT Austin, arXiv:2603.08668)",,ExpForce数据集许可
E079,柔性\E079\Green_grape_3.png,"ExpForce(UT Austin, arXiv:2603.08668)",,ExpForce数据集许可
E080,柔性\E080\Red_grape_tomato_1.png,"ExpForce(UT Austin, arXiv:2603.08668)",,ExpForce数据集许可
E081,柔性\E081\Red_grape_tomato_2.png,"ExpForce(UT Austin, arXiv:2603.08668)",,ExpForce数据集许可
E082,柔性\E082\Green_grape_tomato_1.png,"ExpForce(UT Austin, arXiv:2603.08668)",,ExpForce数据集许可
E083,柔性\E083\Yellow_grape_tomato.png,"ExpForce(UT Austin, arXiv:2603.08668)",,ExpForce数据集许可
E084,柔性\E084\Green_grape_tomato_2.png,"ExpForce(UT Austin, arXiv:2603.08668)",,ExpForce数据集许可
E085,柔性\E085\Green_grape_tomato_3.png,"ExpForce(UT Austin, arXiv:2603.08668)",,ExpForce数据集许可
E086,柔性\E086\Blueberry.png,"ExpForce(UT Austin, arXiv:2603.08668)",,ExpForce数据集许可
E087,柔性\E087\Raspberry.png,"ExpForce(UT Austin, arXiv:2603.08668)",,ExpForce数据集许可
E088,柔性\E088\Blackberry_1.png,"ExpForce(UT Austin, arXiv:2603.08668)",,ExpForce数据集许可
E089,刚体\E089\Sunkist_Orange_soda_zero.png,"ExpForce(UT Austin, arXiv:2603.08668)",,ExpForce数据集许可
E090,刚体\E090\Muffin_mix_box.png,"ExpForce(UT Austin, arXiv:2603.08668)",,ExpForce数据集许可
E091,刚体\E091\Cheez-It_crackers_box.png,"ExpForce(UT Austin, arXiv:2603.08668)",,ExpForce数据集许可
E092,刚体\E092\CeraVe_Moisturizing_Lotion.png,"ExpForce(UT Austin, arXiv:2603.08668)",,ExpForce数据集许可
E093,刚体\E093\Yellow_mustard_bottle.png,"ExpForce(UT Austin, arXiv:2603.08668)",,ExpForce数据集许可
E094,刚体\E094\H-E-B_Pink_Salt_refill.png,"ExpForce(UT Austin, arXiv:2603.08668)",,ExpForce数据集许可
E095,刚体\E095\Tomato_soup_can.png,"ExpForce(UT Austin, arXiv:2603.08668)",,ExpForce数据集许可
E096,刚体\E096\H-E-B_Vitamins_Melatonin_5_mg_Gummies_-_Strawberry.png,"ExpForce(UT Austin, arXiv:2603.08668)",,ExpForce数据集许可
E097,刚体\E097\Nutella_jar.png,"ExpForce(UT Austin, arXiv:2603.08668)",,ExpForce数据集许可
E098,刚体\E098\Morton_salt_container.png,"ExpForce(UT Austin, arXiv:2603.08668)",,ExpForce数据集许可
E099,刚体\E099\Monster_Energy_drink.png,"ExpForce(UT Austin, arXiv:2603.08668)",,ExpForce数据集许可
E100,刚体\E100\StarKist_tuna_can.png,"ExpForce(UT Austin, arXiv:2603.08668)",,ExpForce数据集许可
E101,刚体\E101\Duct_tape_roll.png,"ExpForce(UT Austin, arXiv:2603.08668)",,ExpForce数据集许可
E102,柔性\E102\Red_apple_3.png,"ExpForce(UT Austin, arXiv:2603.08668)",,ExpForce数据集许可
E103,柔性\E103\Orange_2.png,"ExpForce(UT Austin, arXiv:2603.08668)",,ExpForce数据集许可
E104,刚体\E104\OxiClean_container_12_oz.png,"ExpForce(UT Austin, arXiv:2603.08668)",,ExpForce数据集许可
E105,刚体\E105\Clorox_toilet_bleach_cleaner_bottle.png,"ExpForce(UT Austin, arXiv:2603.08668)",,ExpForce数据集许可
E106,刚体\E106\OxiClean_stain_remover_21.5_oz.png,"ExpForce(UT Austin, arXiv:2603.08668)",,ExpForce数据集许可
E107,刚体\E107\Head_and_Shoulders_shampoo_bottle.png,"ExpForce(UT Austin, arXiv:2603.08668)",,ExpForce数据集许可
E108,重脆\E108\Glass_Coca-Cola_bottle.png,"ExpForce(UT Austin, arXiv:2603.08668)",,ExpForce数据集许可
E109,刚体\E109\Small_bean_paste_tub.png,"ExpForce(UT Austin, arXiv:2603.08668)",,ExpForce数据集许可
E110,刚体\E110\Pocky_snack_box_Short-edge_orientation.png,"ExpForce(UT Austin, arXiv:2603.08668)",,ExpForce数据集许可
E111,刚体\E111\Granulated_sugar_32_oz.png,"ExpForce(UT Austin, arXiv:2603.08668)",,ExpForce数据集许可
E112,刚体\E112\Little_Debbie_Swiss_Rolls_box.png,"ExpForce(UT Austin, arXiv:2603.08668)",,ExpForce数据集许可
E113,刚体\E113\Toothpaste_box.png,"ExpForce(UT Austin, arXiv:2603.08668)",,ExpForce数据集许可
E114,柔性\E114\Red_plastic_cup.png,"ExpForce(UT Austin, arXiv:2603.08668)",,ExpForce数据集许可
E115,刚体\E115\Plastic_shot_cup_2_oz.png,"ExpForce(UT Austin, arXiv:2603.08668)",,ExpForce数据集许可
E116,重脆\E116\Glass_tumbler.png,"ExpForce(UT Austin, arXiv:2603.08668)",,ExpForce数据集许可
E117,重脆\E117\Margarita_glass.png,"ExpForce(UT Austin, arXiv:2603.08668)",,ExpForce数据集许可
E118,重脆\E118\Champagne_glass.png,"ExpForce(UT Austin, arXiv:2603.08668)",,ExpForce数据集许可
E119,重脆\E119\Wine_glass.png,"ExpForce(UT Austin, arXiv:2603.08668)",,ExpForce数据集许可
E120,重脆\E120\Ceramic_mug.png,"ExpForce(UT Austin, arXiv:2603.08668)",,ExpForce数据集许可
E121,刚体\E121\Plastic_mug.png,"ExpForce(UT Austin, arXiv:2603.08668)",,ExpForce数据集许可
E122,柔性\E122\Large_marshmallow.png,"ExpForce(UT Austin, arXiv:2603.08668)",,ExpForce数据集许可
E123,刚体\E123\Sweet_bean_paste_28oz.png,"ExpForce(UT Austin, arXiv:2603.08668)",,ExpForce数据集许可
E124,刚体\E124\OnePlus_Phone_Charger_Adapter.png,"ExpForce(UT Austin, arXiv:2603.08668)",,ExpForce数据集许可
E125,刚体\E125\Generic_Phone_Charger_Adapter.png,"ExpForce(UT Austin, arXiv:2603.08668)",,ExpForce数据集许可
E126,刚体\E126\Apple_MacBook_Power_Adapter.png,"ExpForce(UT Austin, arXiv:2603.08668)",,ExpForce数据集许可
E127,刚体\E127\Generic_AC_Power_Adapter.png,"ExpForce(UT Austin, arXiv:2603.08668)",,ExpForce数据集许可
E128,刚体\E128\Umbrella_Folded.png,"ExpForce(UT Austin, arXiv:2603.08668)",,ExpForce数据集许可
E129,刚体\E129\Handheld_Power_Drill.png,"ExpForce(UT Austin, arXiv:2603.08668)",,ExpForce数据集许可
FRA017,轻脆\FRA017\s0.png,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:202601_A_Coffee_beverage_can_with_French_marigolds_garden_of_orange.jpg,CC BY-SA 4.0
FRA017,轻脆\FRA017\s1.png,Wikimedia Commons,"https://commons.wikimedia.org/wiki/File:Can_of_Diet_Sierra_Mist_lemon-lime_soda,_2011.jpg",CC0
FRA017,轻脆\FRA017\s2.png,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Aluminium_can_model_1_J.PNG,CC BY-SA 3.0
FRA017,轻脆\FRA017\s4.png,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Apple_vinegar_beverage_2.jpg,CC0
FRA017,轻脆\FRA017\s5.png,Wikimedia Commons,"https://commons.wikimedia.org/wiki/File:Teignmouth,_tin-can_sculpture_-_geograph.org.uk_-_1468973.jpg",CC BY-SA 2.0
FRA017,轻脆\FRA017\s6.png,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Beverage_cans.jpg,CC BY-SA 4.0
FRA017,轻脆\FRA017\s7.png,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Can.KuromatsuSarsaparilla.jpg,CC BY-SA 4.0
FRA017,轻脆\FRA017\s8.png,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Canada_Dry_ginger_ale_can.jpg,CC BY-SA 4.0
FRA017,轻脆\FRA017\s9.png,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Cans_of_soda_in_a_refrigerator_(14496480669).jpg,CC BY 2.0
FRA017,轻脆\FRA017\s10.png,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:DIY_Beverage-can_alcohol_burner.jpg,CC BY-SA 3.0
FRA017,轻脆\FRA017\s11.png,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Discarded_beverage_can_(29573613).jpg,CC BY 2.0
FRA017,轻脆\FRA017\s12.png,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Flattened_beverage_can_with_German_-container_deposit-5144.jpg,CC BY-SA 4.0
FRA017,轻脆\FRA017\s13.png,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Rubbish_beverage_can.jpg,CC BY-SA 3.0
FRA017,轻脆\FRA017\s14.png,Wikimedia Commons,"https://commons.wikimedia.org/wiki/File:Wong_Lo_Kat_Herbal_Beverage,_310ml_Can,_United_States,_2022.jpg",CC BY-SA 4.0
FRA018,轻脆\FRA018\s0.png,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:40mm_table_tennis_ball_Celluloid.jpg,CC0
FRA018,轻脆\FRA018\s1.png,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Assortment_of_40_mm_table_tennis_balls.jpg,CC BY-SA 3.0
FRA018,轻脆\FRA018\s2.png,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Ping_pong_balls_(27248626739).jpg,CC BY 2.0
FRA018,轻脆\FRA018\s3.png,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Ping_pong_balls_(8821354542).jpg,CC BY 2.0
FRA018,轻脆\FRA018\s4.png,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Ping_pong_balls_-_Flickr_-_Dean_Hochman.jpg,CC BY 2.0
FRA018,轻脆\FRA018\s5.png,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Ping_pong_balls_on_a_mirror.jpg,CC0
FRA018,轻脆\FRA018\s6.png,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:SPiN_ping_pong_balls_1.jpg,CC BY 2.0
FRA018,轻脆\FRA018\s7.png,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Stiga_Cup_table_tennis_balls.jpg,CC BY-SA 4.0
FRA018,轻脆\FRA018\s8.png,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Table_tennis_balls_(2016-06-21).jpg,CC BY-SA 4.0
FRA018,轻脆\FRA018\s9.png,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Table_Tennis_Plastic_Ball_40%2B_mm.jpg,CC BY-SA 4.0
FRA018,轻脆\FRA018\s10.png,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Table_tennis_ball.png,CC BY-SA 3.0
FRA018,轻脆\FRA018\s11.png,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Orange_Ping_Pong_Ball_Close-up_(5864197488).jpg,CC BY 2.0
FRA018,轻脆\FRA018\s12.png,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Photo_balles_ping_pong_foyer.jpg,CC BY-SA 4.0
FRA018,轻脆\FRA018\s13.png,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Ping_Pong_(171410082).jpg,CC BY-SA 2.0
FRA018,轻脆\FRA018\s14.png,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Ping_Pong_(24800456449).jpg,CC BY 2.0
FRA019,轻脆\FRA019\s0.png,Wikimedia Commons,"https://commons.wikimedia.org/wiki/File:2020-01-02_02_01_27_The_contents_of_a_bag_of_Utz_Sour_Cream_and_Onion_flavored_Potato_Chips_in_the_Dulles_section_of_Sterling,_Loudoun_County,_Virginia.jpg",CC BY-SA 4.0
FRA019,轻脆\FRA019\s1.png,Wikimedia Commons,"https://commons.wikimedia.org/wiki/File:2020-09-29_21_13_53_A_bag_of_Utz_Ripples_Original_Potato_Chips_in_the_Dulles_section_of_Sterling,_Loudoun_County,_Virginia.jpg",CC BY-SA 4.0
FRA019,轻脆\FRA019\s2.png,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Opened_bag_of_Ruffles_All_Dressed_potato_chips.jpg,CC BY-SA 4.0
FRA019,轻脆\FRA019\s3.png,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Opened_bag_of_Ruffles_All_Dressed_potato_chips_(cropped).jpg,CC BY-SA 4.0
FRA019,轻脆\FRA019\s4.png,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Bag_of_potato_chips_Steven_Universe.png,CC BY-SA 2.0
FRA019,轻脆\FRA019\s5.png,Wikimedia Commons,"https://commons.wikimedia.org/wiki/File:2019-09-21_21_17_54_The_contents_of_a_bag_of_Sensible_Portions_Garden_Veggie_Sea_Salt_Wavy_Chips_at_the_Hampton_Inn_and_Suites_in_East_Greenbush,_Rensselaer_County,_New_York.jpg",CC BY-SA 4.0
FRA019,轻脆\FRA019\s6.png,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:A_bag_of_Jimmy_Chips.jpg,CC BY-SA 3.0
FRA019,轻脆\FRA019\s7.png,Wikimedia Commons,"https://commons.wikimedia.org/wiki/File:Hurricane_shelter_in_LaPlace,_Louisiana_at_the_Saint_John_the_Baptist_Parish_Community_Center_-_Zapp%27s_Spicy_Cajun_Crawtator_Potato_Chips.jpg",CC BY-SA 2.0
FRA019,轻脆\FRA019\s8.png,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Monkey_eating_a_packet_of_chips.jpg,CC BY-SA 4.0
FRA019,轻脆\FRA019\s9.png,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Chips_-_Best_before_12.01.20201.jpg,CC BY-SA 4.0
FRA019,轻脆\FRA019\s10.png,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Battered_cod_potato_wedges_Capel_Manor_College_caf%C3%A9_Enfield_London_England_01.jpg,CC BY-SA 4.0
FRA019,轻脆\FRA019\s11.png,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Battered_cod_potato_wedges_Capel_Manor_College_caf%C3%A9_Enfield_London_England_02.jpg,CC BY-SA 4.0
FRA019,轻脆\FRA019\s12.png,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Battered_cod_potato_wedges_leftovers_Capel_Manor_College_caf%C3%A9_Enfield_London_England_01.jpg,CC BY-SA 4.0
FRA019,轻脆\FRA019\s13.png,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Battered_cod_potato_wedges_leftovers_Capel_Manor_College_caf%C3%A9_Enfield_London_England_02.jpg,CC BY-SA 4.0
FRA019,轻脆\FRA019\s14.png,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:A_Long_Way_From_Home_(53527425744).jpg,CC BY 2.0
FRA020,轻脆\FRA020\s0.png,Wikimedia Commons,"https://commons.wikimedia.org/wiki/File:2026-05-09_14_19_16_Kellogg%E2%80%99s_zesta_saltine_crackers_at_Capital_Health_Medical_Center_-_Hopewell_in_Hopewell_Township,_Mercer_County,_New_Jersey.jpg",CC BY-SA 4.0
FRA020,轻脆\FRA020\s1.png,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Arnott%27s_Jatz_crackers.jpg,CC0
FRA020,轻脆\FRA020\s2.png,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Barth%27s_Crackers.jpg,CC BY-SA 4.0
FRA020,轻脆\FRA020\s3.png,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Cheese_with_three_crackers_raphaelle_peale.jpg,Public domain
FRA020,轻脆\FRA020\s4.png,Wikimedia Commons,"https://commons.wikimedia.org/wiki/File:Cheese,_dry_fruits,_nuts,_crackers_and_wine_with_friends_in_Chapel_Hill,_Queensland.jpg",CC BY-SA 4.0
FRA020,轻脆\FRA020\s5.png,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Cracker_(1).jpg,Public domain
FRA020,轻脆\FRA020\s6.png,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Cracker_food_cake.jpg,Public domain
FRA020,轻脆\FRA020\s7.png,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Cracker_on_sales.jpg,CC BY-SA 4.0
FRA020,轻脆\FRA020\s8.png,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Crackers_and_Oreo.jpg,CC BY-SA 4.0
FRA020,轻脆\FRA020\s9.png,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Crackers_and_pimento_cheese.jpg,CC BY-SA 4.0
FRA020,轻脆\FRA020\s10.png,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Crackers_Food.jpg,CC BY-SA 4.0
FRA020,轻脆\FRA020\s11.png,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Crackers_for_tasting_cheese_(11595321596).jpg,CC BY 2.0
FRA020,轻脆\FRA020\s12.png,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Cream_of_celery_and_chicken_soup.jpg,CC BY 2.0
FRA020,轻脆\FRA020\s13.png,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Cut_open_cherry_brie_en_croute_with_crackers_and_cheese_knife_(26775667936).jpg,CC BY 2.0
FRA020,轻脆\FRA020\s14.png,Wikimedia Commons,"https://commons.wikimedia.org/wiki/File:-2021-12-28_Cream_crackers,_red_Leicester,_pickled_shallots_and_red_cabbage,_Trimingham,_Norfolk_(1).JPG",CC BY-SA 4.0
FRA021,轻脆\FRA021\s0.png,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Biscuit_roul%C3%A9.JPG,CC BY-SA 3.0
FRA021,轻脆\FRA021\s1.png,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Egg_rolls.jpg,CC BY-SA 3.0
FRA021,轻脆\FRA021\s2.png,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Monde_serena_egg_rolls.jpg,CC BY-SA 4.0
FRA021,轻脆\FRA021\s3.png,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Taro_egg_rolls.jpg,CC0
FRA021,轻脆\FRA021\s4.png,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:1929_ESTAMPA_15.1.jpg,Public domain
FRA021,轻脆\FRA021\s5.png,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:1929_ESTAMPA_15.2.jpg,Public domain
FRA021,轻脆\FRA021\s6.png,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:1929_ESTAMPA_15.3.jpg,Public domain
FRA021,轻脆\FRA021\s7.png,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Almirante_-_Barquillo_(6032874569).jpg,CC BY 2.0
FRA021,轻脆\FRA021\s8.png,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Almirante_-_Barquillo_(6032875669).jpg,CC BY 2.0
